IATA Codes
TLH
TOL
TPA
TRI
TUL
TUS
TYS
VBG
VPS
WRB
TIA
BOJ
SOF
VAR
LCA
PFO
AKT
ZAG
ALC
BCN
MAD
AGP
PMI
SCQ
BOD
TLS
LYS
MRS
NCE
CDG
ORY
BSL
ATH
HER
SKG
BUD
BRI
CTA
PMO
CAG
MXP
BGY
TRN
GOA
LIN
BLQ
TSF
VRN
VCE
CIA
FCO
NAP
PSA
LJU
PRG
TLV
VDA
MLA
VIE
FAO
TER
PDL
OPO
LIS
SJJ
OTP
GVA
ZRH
ESB
ADA
AYT
GZT
ISL
ADB
DLM
ERZ
TZX
ISE
BJV
SAW
SKP
BEG
TGD
BTS
PUJ
SDQ
GUA
KIN
ACA
GDL
HMO
MEX
MTY
PVR
SJD
TIJ
CUN
PTY
LIR
SAL
HAV
VRA
GCM
NAS
BZE
RAR
PPT
AKL
CHC
WLG
BAH
DMM
DHA
JED
MED
RUH
IKA
THR
MHD
SYZ
TBZ
AMM
KWI
BEY
DQM
MNH
AUH
DXB
DWC
SHJ
MCT
SKT
BGW
BSR
ALP
DAM
LTK
FAI
ANC
GUM
CGY
HNL
ISB
DOH
KNH
KHH
TPE
NRT
KIX
CTS
HRB
WLW
WSD
WST
WVI
WVL
KYO
ATX
KZF
ZPH
LAC
LBM
SZR
TGV
LCP
LSZ
LDW
HSK
QSA
RJL
LEO
LEU
DPE
BYF
XDA
MVV
AHZ
PRP
MFX
CVF
BAE
GAT
SCP
LSO
XBX
LTT
LGE
JIK
KSO
KIT
KZS
KSJ
JKL
LRS
LXS
LRA
MLO
LGN
JNX
PAS
JTY
JSY
SPJ
SKU
MCQ
QAQ
BLX
RAN
FNU
UDN
LCV
QRT
LKC
MKA
OLO
ZBE
BEV
EIY
LLH
KSW
LLL
YOT
LMC
LMZ
LNC
LNF
LNM
HOH
LOM
CHV
CVU
QNC
BXO
ZJI
GKD
KFS
MZH
VAS
ONQ
NAV
CII
BTZ
USQ
BXN
KZR
NOP
LTF
SZF
LWA
DNF
MRA
QUB
IVG
QND
LUE
POV
DRU
GLN
UWA
MAP
MDS
PIC
SLX
COZ
EPS
MDR
MDV
LIZ
MEF
OHB
DOA
CMM
CTF
HUG
MCR
MGP
PON
AQB
AAZ
LCF
AIM
AUL
BII
EBN
JAT
JEJ
KBT
LIK
LML
MAV
MJB
MJE
NDK
RNP
TIC
UIT
WJA
WTE
WTO
AHS
BHG
CAA
LUI
CYL
CDD
OAN
GAC
IRN
GUO
JUT
LEZ
MHN
PCH
PEU
RUY
SCD
UII
MHY
ORO
MIZ
MJJ
MJS
MKN
NEG
MIJ
MLQ
HEB
TZM
CNA
ACN
NCG
CJT
MMC
ESE
GUB
TCN
ISJ
AZP
MUG
NOG
PCO
PQM
SFH
NLU
TSL
MMV
ZMM
MXW
ULG
BZA
ECI
RNI
NVG
RFS
NCR
SIU
WSP
MOH
PDM
MPG
BLB
MPI
JQE
PUE
RIH
MPU
PVE
NBL
MPX
MQO
FON
JAP
PLD
DRK
FMG
PBP
CSC
NCT
RFR
MRT
TNO
TMU
MTX
MTU
BWW
QCO
UMA
MJG
ICR
USS
MWR
AJS
AZG
PCM
PCV
SCX
SGM
TUY
UAC
XAL
MXC
MXK
MXR
GTK
LBP
LLM
MZS
SPT
WKR
CXY
PWN
GBI
WTD
MYK
PID
RCY
MYS
MYX
NTC
IBO
TGS
MZE
CYD
IMI
BQI
AIT
AIU
MGS
MHX
MUK
MOI
PZK
PYE
NDI
NDN
EPG
ICI
PTF
RBI
KDV
MNF
MFJ
LEV
NGI
LUC
LKB
TVU
KXF
RTA
SVU
VAU
KAY
ONU
YAS
EUA
NFO
NTT
VBV
VTF
PHG
ABF
BEZ
KUC
MNK
MZK
MTK
NIG
OOT
AEA
TMN
NON
AIS
