iata,icao,airport_name,location,gps
HMO,MMHO,General Ignacio Pesqueira García International Airport,"Hermosillo, Sonora",29.09583°N 111.04778°W
MEX,MMMX,Mexico City International Airport,"Venustiano Carranza, Mexico City",19.43611°N 99.07194°W
MTY,MMMY,Monterrey International Airport,"Apodaca, Nuevo Leon, Mexico",25.77833°N 100.10639°W
PVR,MMPR,Lic. Gustavo Díaz Ordaz International Airport,"Puerto Vallarta, Jalisco",20.68000°N 105.25417°W
SJD,MMSD,Los Cabos International Airport,"San José del Cabo,Los Cabos Municipality,Baja California Sur state,Mexico",23.15167°N 109.72083°W
TIJ,MMTJ,Tijuana International Airport,"Tijuana, Baja California(CBX terminal in Otay Mesa, San Diego, California)",32.54083°N 116.97000°W
CUN,MMUN,Cancun International Airport,"Cancún, Quintana Roo, Mexico",21.03667°N 86.87694°W
PTY,MPTO,Tocumen International Airport,Tocumen,9.07139°N 79.38361°W
LIR,MRLB,Daniel Oduber Quirós International Airport (LIR),unknown,10.59306°N 85.54556°W
SAL,unknown,unknown,unknown,unknown
HAV,unknown,unknown,unknown,unknown
VRA,unknown,unknown,unknown,unknown
GCM,unknown,unknown,unknown,unknown
NAS,MYNN,Lynden Pindling International Airport,"Nassau, Bahamas",25.03889°N 77.46611°W
BZE,unknown,unknown,unknown,unknown
RAR,NCRG,Rarotonga International Airport,"Avarua, Rarotonga, Cook Islands",21.20278°S 159.80556°W
PPT,NTAA,Faa'a International Airport,Papeete,17.55667°S 149.61139°W
AKL,unknown,unknown,unknown,unknown
CHC,unknown,unknown,unknown,unknown
WLG,unknown,unknown,unknown,unknown
BAH,unknown,unknown,unknown,unknown
DMM,unknown,unknown,unknown,unknown
DHA,unknown,unknown,unknown,unknown
JED,OEJN,King Abdulaziz International Airport,Al Madinah Al Munawwarah Road,21.67944°N 39.15667°E
MED,unknown,unknown,unknown,unknown
RUH,OERK,King Khalid International Airport,"Riyadh, Saudi Arabia",24.95778°N 46.69889°E
IKA,OIIE,Imam Khomeini International Airport (IKIA),"Ahmadabad, Tehran, Iran",35.41611°N 51.15222°E
THR,OIII,Mehrabad International Airport,"Tehran, Iran",35.68917°N 51.31361°E
MHD,unknown,unknown,unknown,unknown
SYZ,OISS,Shiraz Shahid Dastgheib International Airport,"Shiraz, Iran",29.53917°N 52.59000°E
TBZ,unknown,unknown,unknown,unknown
AMM,unknown,unknown,unknown,unknown
KWI,OKBK,Kuwait International Airport,"Farwaniya Governorate, Kuwait",29.22667°N 47.98000°E
BEY,unknown,unknown,unknown,unknown
DQM,unknown,unknown,unknown,unknown
MNH,unknown,unknown,unknown,unknown
AUH,OMAA,Abu Dhabi International Airport,unknown,24.43306°N 54.65111°E
DXB,OMDB,Dubai International Airport,unknown,25.25278°N 55.36444°E
DWC,OMDW,Al Maktoum International Airport,"Jebel Ali, United Arab Emirates",24.8882778°N 55.1603778°E
SHJ,OMSJ,Sharjah Airport,unknown,25.32917°N 55.51611°E
MCT,unknown,unknown,unknown,unknown
SKT,unknown,unknown,unknown,unknown
BGW,unknown,unknown,unknown,unknown
BSR,unknown,unknown,unknown,unknown
ALP,unknown,unknown,unknown,unknown
DAM,unknown,unknown,unknown,unknown
LTK,unknown,unknown,unknown,unknown
FAI,PAFA,Fairbanks International Airport,unknown,64.81500°N 147.85639°W
ANC,PANC,Ted Stevens Anchorage International Airport,unknown,61.17417°N 149.99833°W
GUM,unknown,unknown,unknown,unknown
CGY,RPMY,Laguindingan Airport,"Barangay Moog, Laguindingan, Misamis Oriental",8.61250°N 124.45722°E
HNL,PHNL,Daniel K. Inouye International Airport,"Honolulu, Hawaii, United States",21.31861°N 157.92250°W
ISB,unknown,unknown,unknown,unknown
DOH,OTHH,Hamad International Airport,"Doha, Qatar",25.27306°N 51.60806°E
KNH,unknown,unknown,unknown,unknown
KHH,RCKH,Kaohsiung International Airport,"Siaogang District, Kaohsiung, Taiwan",22.57694°N 120.35000°E
TPE,RCTP,Taiwan Taoyuan International Airport,"Dayuan District, Taoyuan, Taiwan",25.07639°N 121.22389°E
NRT,RJAA,Narita International Airport,"Narita, Chiba, Japan",35.76528°N 140.38556°E
KIX,RJBB,Kansai International Airport,"Izumisano, Sennan, & Tajiri Osaka Prefecture",34.43417°N 135.23278°E
CTS,RJCC,New Chitose International Airport,City of Chitose and Tomakomai,42.77528°N 141.69250°E
HRB,ZYHB,Harbin Taiping International Airport,"near the town of Taiping, Daoli District, Harbin",45.6234028°N 126.2503278°E
WLW,unknown,unknown,unknown,unknown
WSD,unknown,unknown,unknown,unknown
WST,unknown,unknown,unknown,unknown
WVI,unknown,unknown,unknown,unknown
WVL,unknown,unknown,unknown,unknown
KYO,unknown,unknown,unknown,unknown
ATX,unknown,unknown,unknown,unknown
KZF,unknown,unknown,unknown,unknown
ZPH,unknown,unknown,unknown,unknown
LAC,unknown,unknown,unknown,unknown
LBM,unknown,unknown,unknown,unknown
SZR,unknown,unknown,unknown,unknown
TGV,unknown,unknown,unknown,unknown
LCP,unknown,unknown,unknown,unknown
LSZ,unknown,unknown,unknown,unknown
LDW,unknown,unknown,unknown,unknown
HSK,unknown,unknown,unknown,unknown
QSA,unknown,unknown,unknown,unknown
RJL,unknown,unknown,unknown,unknown
LEO,unknown,unknown,unknown,unknown
LEU,unknown,unknown,unknown,unknown
DPE,unknown,unknown,unknown,unknown
BYF,unknown,unknown,unknown,unknown
XDA,unknown,unknown,unknown,unknown
MVV,unknown,unknown,unknown,unknown
AHZ,unknown,unknown,unknown,unknown
PRP,unknown,unknown,unknown,unknown
MFX,unknown,unknown,unknown,unknown
CVF,unknown,unknown,unknown,unknown
BAE,unknown,unknown,unknown,unknown
GAT,unknown,unknown,unknown,unknown
SCP,unknown,unknown,unknown,unknown
LSO,unknown,unknown,unknown,unknown
XBX,unknown,unknown,unknown,unknown
LTT,unknown,unknown,unknown,unknown
LGE,unknown,unknown,unknown,unknown
JIK,unknown,unknown,unknown,unknown
KSO,unknown,unknown,unknown,unknown
KIT,unknown,unknown,unknown,unknown
KZS,unknown,unknown,unknown,unknown
KSJ,unknown,unknown,unknown,unknown
JKL,unknown,unknown,unknown,unknown
LRS,unknown,unknown,unknown,unknown
LXS,unknown,unknown,unknown,unknown
LRA,unknown,unknown,unknown,unknown
MLO,unknown,unknown,unknown,unknown
LGN,unknown,unknown,unknown,unknown
JNX,unknown,unknown,unknown,unknown
PAS,unknown,unknown,unknown,unknown
JTY,unknown,unknown,unknown,unknown
JSY,unknown,unknown,unknown,unknown
SPJ,unknown,unknown,unknown,unknown
SKU,unknown,unknown,unknown,unknown
MCQ,unknown,unknown,unknown,unknown
QAQ,unknown,unknown,unknown,unknown
BLX,unknown,unknown,unknown,unknown
RAN,unknown,unknown,unknown,unknown
FNU,unknown,unknown,unknown,unknown
UDN,unknown,unknown,unknown,unknown
LCV,unknown,unknown,unknown,unknown
QRT,unknown,unknown,unknown,unknown
LKC,unknown,unknown,unknown,unknown
MKA,unknown,unknown,unknown,unknown
OLO,unknown,unknown,unknown,unknown
ZBE,unknown,unknown,unknown,unknown
BEV,unknown,unknown,unknown,unknown
EIY,unknown,unknown,unknown,unknown
LLH,unknown,unknown,unknown,unknown
KSW,unknown,unknown,unknown,unknown
LLL,unknown,unknown,unknown,unknown
YOT,unknown,unknown,unknown,unknown
LMC,unknown,unknown,unknown,unknown
LMZ,unknown,unknown,unknown,unknown
LNC,unknown,unknown,unknown,unknown
LNF,unknown,unknown,unknown,unknown
LNM,unknown,unknown,unknown,unknown
HOH,unknown,unknown,unknown,unknown
LOM,unknown,unknown,unknown,unknown
CHV,unknown,unknown,unknown,unknown
CVU,unknown,unknown,unknown,unknown
QNC,unknown,unknown,unknown,unknown
BXO,unknown,unknown,unknown,unknown
ZJI,unknown,unknown,unknown,unknown
GKD,unknown,unknown,unknown,unknown
KFS,unknown,unknown,unknown,unknown
MZH,unknown,unknown,unknown,unknown
VAS,unknown,unknown,unknown,unknown
ONQ,unknown,unknown,unknown,unknown
NAV,unknown,unknown,unknown,unknown
CII,unknown,unknown,unknown,unknown
BTZ,unknown,unknown,unknown,unknown
USQ,unknown,unknown,unknown,unknown
BXN,unknown,unknown,unknown,unknown
KZR,unknown,unknown,unknown,unknown
NOP,unknown,unknown,unknown,unknown
LTF,unknown,unknown,unknown,unknown
SZF,unknown,unknown,unknown,unknown
LWA,unknown,unknown,unknown,unknown
DNF,unknown,unknown,unknown,unknown
MRA,unknown,unknown,unknown,unknown
QUB,unknown,unknown,unknown,unknown
IVG,unknown,unknown,unknown,unknown
QND,unknown,unknown,unknown,unknown
LUE,unknown,unknown,unknown,unknown
POV,unknown,unknown,unknown,unknown
DRU,unknown,unknown,unknown,unknown
GLN,unknown,unknown,unknown,unknown
UWA,unknown,unknown,unknown,unknown
MAP,unknown,unknown,unknown,unknown
MDS,unknown,unknown,unknown,unknown
PIC,unknown,unknown,unknown,unknown
SLX,unknown,unknown,unknown,unknown
COZ,unknown,unknown,unknown,unknown
EPS,unknown,unknown,unknown,unknown
MDR,unknown,unknown,unknown,unknown
MDV,unknown,unknown,unknown,unknown
LIZ,unknown,unknown,unknown,unknown
MEF,unknown,unknown,unknown,unknown
OHB,unknown,unknown,unknown,unknown
DOA,unknown,unknown,unknown,unknown
CMM,unknown,unknown,unknown,unknown
CTF,unknown,unknown,unknown,unknown
HUG,unknown,unknown,unknown,unknown
MCR,unknown,unknown,unknown,unknown
MGP,unknown,unknown,unknown,unknown
PON,unknown,unknown,unknown,unknown
AQB,unknown,unknown,unknown,unknown
AAZ,unknown,unknown,unknown,unknown
LCF,unknown,unknown,unknown,unknown
AIM,unknown,unknown,unknown,unknown
AUL,unknown,unknown,unknown,unknown
BII,unknown,unknown,unknown,unknown
EBN,unknown,unknown,unknown,unknown
JAT,unknown,unknown,unknown,unknown
JEJ,unknown,unknown,unknown,unknown
KBT,unknown,unknown,unknown,unknown
LIK,unknown,unknown,unknown,unknown
LML,unknown,unknown,unknown,unknown
MAV,unknown,unknown,unknown,unknown
MJB,unknown,unknown,unknown,unknown
MJE,unknown,unknown,unknown,unknown
NDK,unknown,unknown,unknown,unknown
RNP,unknown,unknown,unknown,unknown
TIC,unknown,unknown,unknown,unknown
UIT,unknown,unknown,unknown,unknown
WJA,unknown,unknown,unknown,unknown
WTE,unknown,unknown,unknown,unknown
WTO,unknown,unknown,unknown,unknown
AHS,unknown,unknown,unknown,unknown
BHG,unknown,unknown,unknown,unknown
CAA,unknown,unknown,unknown,unknown
LUI,unknown,unknown,unknown,unknown
CYL,unknown,unknown,unknown,unknown
CDD,unknown,unknown,unknown,unknown
OAN,unknown,unknown,unknown,unknown
GAC,unknown,unknown,unknown,unknown
IRN,unknown,unknown,unknown,unknown
GUO,unknown,unknown,unknown,unknown
JUT,unknown,unknown,unknown,unknown
LEZ,unknown,unknown,unknown,unknown
MHN,unknown,unknown,unknown,unknown
PCH,unknown,unknown,unknown,unknown
PEU,unknown,unknown,unknown,unknown
RUY,unknown,unknown,unknown,unknown
SCD,unknown,unknown,unknown,unknown
UII,unknown,unknown,unknown,unknown
MHY,unknown,unknown,unknown,unknown
ORO,unknown,unknown,unknown,unknown
MIZ,unknown,unknown,unknown,unknown
MJJ,unknown,unknown,unknown,unknown
MJS,unknown,unknown,unknown,unknown
MKN,unknown,unknown,unknown,unknown
NEG,unknown,unknown,unknown,unknown
MIJ,unknown,unknown,unknown,unknown
MLQ,unknown,unknown,unknown,unknown
HEB,unknown,unknown,unknown,unknown
TZM,unknown,unknown,unknown,unknown
CNA,unknown,unknown,unknown,unknown
ACN,unknown,unknown,unknown,unknown
NCG,unknown,unknown,unknown,unknown
CJT,unknown,unknown,unknown,unknown
MMC,unknown,unknown,unknown,unknown
ESE,unknown,unknown,unknown,unknown
GUB,unknown,unknown,unknown,unknown
TCN,unknown,unknown,unknown,unknown
ISJ,unknown,unknown,unknown,unknown
AZP,unknown,unknown,unknown,unknown
MUG,unknown,unknown,unknown,unknown
NOG,unknown,unknown,unknown,unknown
PCO,unknown,unknown,unknown,unknown
PQM,unknown,unknown,unknown,unknown
SFH,unknown,unknown,unknown,unknown
NLU,unknown,unknown,unknown,unknown
TSL,unknown,unknown,unknown,unknown
MMV,unknown,unknown,unknown,unknown
ZMM,unknown,unknown,unknown,unknown
MXW,unknown,unknown,unknown,unknown
ULG,unknown,unknown,unknown,unknown
BZA,unknown,unknown,unknown,unknown
ECI,unknown,unknown,unknown,unknown
RNI,unknown,unknown,unknown,unknown
NVG,unknown,unknown,unknown,unknown
RFS,unknown,unknown,unknown,unknown
NCR,unknown,unknown,unknown,unknown
SIU,unknown,unknown,unknown,unknown
WSP,unknown,unknown,unknown,unknown
MOH,unknown,unknown,unknown,unknown
PDM,unknown,unknown,unknown,unknown
MPG,unknown,unknown,unknown,unknown
BLB,unknown,unknown,unknown,unknown
MPI,unknown,unknown,unknown,unknown
JQE,unknown,unknown,unknown,unknown
PUE,unknown,unknown,unknown,unknown
RIH,unknown,unknown,unknown,unknown
MPU,unknown,unknown,unknown,unknown
PVE,unknown,unknown,unknown,unknown
NBL,unknown,unknown,unknown,unknown
MPX,unknown,unknown,unknown,unknown
MQO,unknown,unknown,unknown,unknown
FON,MRAN,Arenal Airport,unknown,10.46944°N 84.57889°W
JAP,unknown,unknown,unknown,unknown
PLD,unknown,unknown,unknown,unknown
DRK,unknown,unknown,unknown,unknown
FMG,unknown,unknown,unknown,unknown
PBP,unknown,unknown,unknown,unknown
CSC,unknown,unknown,unknown,unknown
NCT,unknown,unknown,unknown,unknown
RFR,unknown,unknown,unknown,unknown
MRT,unknown,unknown,unknown,unknown
TNO,MRTM,Tamarindo Airport,unknown,10.31528°N 85.81389°W
TMU,unknown,unknown,unknown,unknown
MTX,unknown,unknown,unknown,unknown
MTU,unknown,unknown,unknown,unknown
BWW,unknown,unknown,unknown,unknown
QCO,unknown,unknown,unknown,unknown
UMA,unknown,unknown,unknown,unknown
MJG,unknown,unknown,unknown,unknown
ICR,unknown,unknown,unknown,unknown
USS,unknown,unknown,unknown,unknown
MWR,unknown,unknown,unknown,unknown
AJS,unknown,unknown,unknown,unknown
AZG,unknown,unknown,unknown,unknown
PCM,unknown,unknown,unknown,unknown
PCV,unknown,unknown,unknown,unknown
SCX,unknown,unknown,unknown,unknown
SGM,unknown,unknown,unknown,unknown
TUY,unknown,unknown,unknown,unknown
UAC,unknown,unknown,unknown,unknown
XAL,unknown,unknown,unknown,unknown
MXC,unknown,unknown,unknown,unknown
MXK,unknown,unknown,unknown,unknown
MXR,unknown,unknown,unknown,unknown
GTK,unknown,unknown,unknown,unknown
